Alimento;Kcal (por 100 g);Grasas (g/100 g);Proteínas (g/100 g);Carbohidratos (g/100 g)
Lengua de buey;224;16,1;16;3,7
Lengua de cerdo;157;10,3;16;0
Lengua de cordero;193;14,6;15,3;0
Lengua de ternera;148;8,5;17,8;0
Lengua de vaca;219;16,1;14,9;3,7
Molleja de cordero;131;7,8;15,3;0
Molleja de ternera;303;28,6;11,5;0
Pulmón de cerdo;80,7;2,7;14,1;0
Pulmón de cordero;90,2;2,6;16,7;0
Pulmón de ternera;87,3;2,5;16,2;0
Riñón de cerdo;102;3,8;16,9;0
Riñón de cordero;90,3;2,7;16,5;0
Riñón de ternera;131;7,1;16,7;0
Sangre de cerdo;76;0,2;18,5;0,06
Seso de cerdo;123;9;10,6;0
Seso de cordero;133;10,3;10;0
Seso de ternera;109;7,6;10,1;0
Butifarra;238;19,6;10;5,5
Cabeza de jabalí;534;50,6;19,4;0,2
Chistorra;519;50,5;15,3;0,9
Chopped de cerdo;293;24,8;14,4;3,1
Chorizo;356;29,3;21,2;1,9
Foie gras;324;29,5;11,9;2,7
Fuet;438;39,5;19,3;1,4
Jamón cocido;213;10,8;19,1;9,9
Jamón cocido enlatado;120;5,1;18,4;0
Jamón ibérico;375;22,4;43,2;0,1
Jamón serrano;136;5,6;21,4;0
Lomo embuchado;308;20;32;
Longaniza;348;27,5;25;0
Morcilla de arroz;256;17,7;6,9;16,7
Mortadela;266;23,7;11,9;1,3
Pechuga de pavo embutido;81,5;0,65;15,2;3,7
Salami;444;39,2;21;1,7
Salchicha fresca;309;28,1;13,1;0,9
Salchicha tipo Frankfurt;243;20,5;13,1;1,4
Salchichón;438;39,5;19,3;1,4
Sobrasada;595;60,3;13;0
Cabrito;122;5;19,2;0
Carne de caballo;108;2,7;20,6;0,4
Carne de conejo grasa;204;14,4;18,1;0,4
Carne de conejo, grasa y magra;138;5,3;22,1;0,5
Carne de jabalí;162;9,3;19,5;0
Conejo;88,4;5,2;10,4;0
Liebre;113;3;21,6;0
Lomo de conejo;102;0,6;23,7;0,6
Pierna de conejo;137;5,9;21;0
Vena do magro deshuesado;103;1,6;22,2;0
Abadejo;74;0,8;16,7;0
Bacaladilla;84,4;1,6;17,5;0
Bacalao fresco;79,8;1;17,7;0
Besugo;88,6;1,8;18,1;0
Breca;74,6;1;15,4;1
Cabracho;91,3;1,7;19;0
Cazón;82,9;0,9;18,7;0
Dorada;230;16,9;18,1;1,3
Gallo;81,5;1,9;16,1;0
Lenguado;83,7;1,3;17,5;0,5
Lubina;97,9;2,3;19,3;0
Merluza;63,8;1,8;11,9;0
Mero;70,3;0,7;16;0
Mújol;124;4,3;20,4;0,8
Panga;65,6;1,2;13,4;0,3
Perca;88,8;1,6;18,6;0
Pescadilla;74;0,8;16,7;0
Platija;85,9;1,9;17,2;0
Rape;65,6;0,67;14,9;0
Raya;97,3;1,3;20,6;0,8
Rodaballo;82,1;1,7;16,7;0
Rosada;70,5;0,5;16,5;0
Anguila;281;24,5;15;0
Angula;205;15,5;16,3;0
Arenque;233;17,8;18,2;0
Atún;226;15,5;21,5;0
Bonito;153;6;24,7;0
Boqu erón;142;6;21,5;0,5
Caballa;182;11,9;18,7;0
Carpa;114;4,7;18;0
Congrio;123;4,6;19;1,4
Jurel;118;3,9;19,8;0,8
Palometa;125;5;20;0
Pescaditos;79,8;3;11,4;1,8
Pez espada;117;4,4;19,4;0
Salmon;191;12,1;20,6;0
Salmonete;109;3,8;18,7;0
Sardina;157;9,4;18;0
Sargo;104;4,4;15;1
Trucha;136;6,7;18,8;0
Merluza congelada;81,2;2;15,8;0
Pesc adilla congelada;54,6;0,82;11,8;0
Anch oa en aceite;253;15,2;28,6;0,37
Atún al natural;99,4;0,6;23,5;0
Atún en aceite;208;12,1;24,8;0
Atún en escabeche;99,4;0,6;23,5;0
Bonito en aceite;203;11,5;24,9;0
Bonito en aceite de soja;207;8,7;32,2;0
Caballa en aceite;217;13,8;22,5;0,6
Melva en aceite de oliva;184;7,3;27,5;2
Sardina con salsa de tomate;174;12,3;13,8;1,9
Sardina en aceite;218;13,6;23,9;0
Sardina en escabeche;131;7,5;15;0,8
Sardinilla en aceite;218;13,6;23,9;0
Salmon ahumado;140;4,3;25,4;0
Almeja;76,6;1;15,4;1,5
Berberecho;82,6;1;16,9;1,5
Bogavante;83,5;1,9;15,9;0,7
Calamar;80,6;1,4;16,3;0,7
Cangrejo y similares;124;5,1;19,5;
Centollo;127;5,2;20,1;
Chipirón;80,6;1,4;16,3;0,7
Cigala;85,4;1,4;17,7;0,5
Gamba roja;94,2;1,8;18;1,5
Langosta;83,9;1,1;17,2;1,3
Lang ostino;110;0,8;24,3;1,5
Mejillón;72,4;2;10,2;3,4
Ostra;66;1,2;9;4,8
Percebe;66,4;0,4;15,7;
Pulpo;89,8;1,4;17,9;1,4
Quisquilla;81,8;0,6;17,6;1,5
Sepia;75,3;0,9;16,1;0,7
Vieira;81,7;0,9;15,6;2,8
Zamburiña;76,6;1;15,4;1,5
Bacalao salado;322;2,4;75;0
Almeja en conserva;79,2;0,4;17,4;1,5
Berberecho en conserva;79,2;0,4;17,4;1,5
Bonito en escabeche;171;12;15;0,8
Caballa ahumada;250;18,7;20,5;0
Caballa en escabeche;171;12;15;0,8
Calamar en salsa americana;195;15,2;13,1;1,5
Calamar en su tinta;117;4,3;13,3;6,3
Mejillón en conserva al natural;82,1;2,9;12;2
Mejillón en escabeche;77,7;2,5;11,8;2
Navaja en conserva;89,2;1;20;0,05
Sardina ahumada o salada;202;13,1;21;0
Anca de rana;68,3;0,3;16,4;0
